first_name,last_name,age,gender,color,item_name,favorite_color,location,ispurchased,time_spent_looking,price
Kettie,Montier,26,Female,Indigo,air_jordan_4_retro_red,Goldenrod,Pakistan,true,5,$18.10
Dwain,Pedley,28,Male,Khaki,nike_zoom_rival_xc_6_pink,Crimson,Greece,true,5,$43.43
Evin,Blackeby,29,Male,Green,nike_alphafly_3_orange,Maroon,Peru,false,3,$871.55
Farrand,MacDiarmond,29,Female,Blue,nike_phantom_6_low_elite_red,Green,China,true,9,$87.80
Jenelle,Murrhardt,26,Female,Puce,nike_phantom_6_low_elite_red,Yellow,China,true,8,$359.06
Estrella,Gannan,23,Female,Puce,nike_vapor_speed_3_green,Yellow,Greece,true,7,$96.02
Carola,Lehemann,23,Female,Turquoise,nike_zoom_rival_xc_6_pink,Fuscia,China,true,4,$238.00
Jeddy,Baly,21,Male,Fuscia,nike_phantom_6_low_elite_red,Mauv,France,false,10,$123.78
Alphonse,Kneebone,21,Male,Yellow,nike_zoom_rival_xc_6_aqua,Purple,Thailand,true,10,$33.56
Mordecai,Arno,18,Male,Goldenrod,nike_phantom_6_low_elite_red,Mauv,Indonesia,false,8,$963.42
Georgie,Annes,29,Female,Maroon,nike_alphafly_3_orange,Khaki,China,true,5,$254.72
Roosevelt,Glassard,24,Male,Crimson,nike_alpha_menace_4_varsity_blue,Aquamarine,Colombia,true,6,$672.01
Fleming,Veevers,26,Male,Teal,air_jordan_4_retro_brown,Yellow,Argentina,true,1,$731.63
Raimundo,Entres,20,Polygender,Blue,air_jordan_1_retro_high_og_gray,Orange,Nigeria,true,6,$680.54
Gaylor,Olenchikov,22,Male,Goldenrod,air_jordan_1_retro_high_og_gray,Green,Indonesia,true,6,$547.68
Kellina,Mosten,28,Female,Fuscia,nike_maxfly_2_yellow,Pink,China,false,6,$958.02
Benjie,Gravener,27,Genderfluid,Turquoise,nike_vapor_edge_360_black,Aquamarine,Brazil,true,5,$901.40
Yule,Bertouloume,25,Male,Purple,nike_alphafly_3_navy,Violet,China,true,1,$264.83
Cosmo,MacKessock,24,Male,Orange,nike_acg_ultrafly_trail_orange,Khaki,China,false,5,$295.47
Aldric,Antoniottii,22,Male,Maroon,nike_zoom_rotational_6_yellow,Mauv,Russia,false,3,$152.14
Henri,Thorneywork,22,Male,Fuscia,nike_vapor_edge_360_black,Maroon,Argentina,false,8,$218.23
Rhianna,Galsworthy,22,Female,Khaki,nike_long_jump_elite_white,Crimson,Venezuela,true,10,$277.69
Helaina,Robertz,30,Female,Red,nike_vapor_shark_3_purple,Red,Ukraine,true,6,$21.54
Felicio,Boughton,21,Male,Goldenrod,air_jordan_mvp_92_green,Orange,Indonesia,true,9,$164.69
Martyn,Benediktsson,20,Male,Teal,nike_zoom_rival_xc_6_pink,Green,Mozambique,true,4,$535.24
Poul,Enion,20,Male,Purple,nike_vomero_plus_pink,Violet,Pakistan,true,5,$469.49
Thayne,Bostick,29,Male,Puce,air_jordan_4_retro_red,Turquoise,Nigeria,false,5,$635.32
Ranee,Ahmed,24,Female,Puce,nike_alphafly_3_orange,Fuscia,Russia,true,6,$157.36
Lion,Dust,19,Male,Khaki,nike_long_jump_elite_white,Aquamarine,Portugal,true,3,$236.08
Josi,Barrell,24,Female,Indigo,nike_long_jump_elite_white,Mauv,China,true,4,$873.90
Irwin,Lissandri,20,Male,Puce,nike_vomero_plus_pink,Crimson,Sweden,false,10,$270.02
Ainslee,Hadye,30,Female,Red,nike_mercurial_superfly_10_elite_blue,Indigo,Brazil,true,1,$556.95
Cris,Beech,30,Male,Green,nike_maxfly_2_purple,Red,Russia,true,8,$329.60
Orrin,Coonan,28,Male,Fuscia,nike_alpha_menace_4_varsity_blue,Goldenrod,United States,true,8,$349.46
Harlie,Gitsham,26,Bigender,Violet,nike_long_jump_elite_white,Aquamarine,China,true,1,$158.00
Laurens,Gladtbach,26,Male,Indigo,air_jordan_1_retro_high_og_gray,Aquamarine,Indonesia,true,10,$962.83
Thornton,Forryan,26,Male,Yellow,nike_zoom_rival_xc_6_aqua,Purple,Peru,false,10,$244.66
Cirilo,Vorley,24,Male,Khaki,nike_zoom_rival_xc_6_pink,Fuscia,China,true,10,$536.18
Arvin,Misson,27,Male,Goldenrod,air_jordan_4_retro_brown,Turquoise,Indonesia,true,9,$594.71
Antonio,Lillo,26,Male,Mauv,air_jordan_4_retro_red,Crimson,Indonesia,true,9,$317.80
Ceciley,Manley,28,Genderqueer,Puce,nike_vapor_edge_360_black,Mauv,Indonesia,false,4,$974.99
Freddy,Treble,28,Female,Khaki,nike_phantom_6_low_elite_red,Pink,Sweden,false,2,$91.78
Ravid,Heath,23,Bigender,Pink,nike_zoom_rival_xc_6_pink,Teal,Indonesia,true,7,$57.34
Baily,Leggett,22,Male,Yellow,nike_zoom_rival_xc_6_pink,Khaki,China,true,2,$334.34
Burt,Eronie,22,Male,Red,nike_maxfly_2_yellow,Green,China,false,5,$332.39
Odella,Rolin,26,Female,Violet,air_jordan_4_retro_red,Indigo,China,true,9,$212.66
Northrup,Vayro,27,Male,Yellow,nike_acg_ultrafly_trail_orange,Indigo,Russia,true,8,$416.67
Brnaba,Heales,20,Male,Teal,nike_alphafly_3_navy,Indigo,Indonesia,true,3,$994.97
Fair,Forgie,26,Male,Orange,nike_mercurial_superfly_10_elite_blue,Goldenrod,United States,true,3,$991.75
Zerk,Lamboll,18,Male,Puce,nike_zoom_rival_xc_6_pink,Mauv,Russia,false,10,$420.57
Pollyanna,Marsland,26,Female,Puce,nike_long_jump_elite_white,Khaki,Russia,true,9,$70.60
Bailey,Perrins,30,Male,Goldenrod,nike_vapor_shark_3_purple,Pink,Philippines,false,10,$757.56
Godfry,Aylwin,29,Male,Indigo,nike_vomero_plus_black,Aquamarine,Venezuela,false,7,$646.06
Alano,Darko,27,Male,Violet,air_jordan_4_retro_red,Red,China,true,7,$93.78
Raphaela,Ritchman,18,Female,Maroon,air_jordan_4_retro_red,Yellow,France,true,8,$500.81
Molly,Ivens,21,Female,Mauv,nike_long_jump_elite_white,Pink,France,true,1,$157.02
Edmon,Canete,21,Male,Red,air_jordan_4_retro_red,Turquoise,Lithuania,false,4,$121.18
Shirley,McIlheran,21,Female,Red,nike_acg_ultrafly_trail_orange,Yellow,Mexico,false,9,$539.67
Dav,Fathers,22,Male,Fuscia,nike_maxfly_2_purple,Maroon,Peru,false,7,$537.19
Rickie,Tebbit,25,Polygender,Goldenrod,air_jordan_4_retro_red,Fuscia,Sweden,false,6,$644.54
Celia,Bareford,26,Female,Green,nike_acg_ultrafly_trail_orange,Blue,China,true,4,$252.69
Oralee,Paddington,21,Female,Red,nike_zoom_rotational_6_yellow,Orange,Brazil,true,8,$574.16
Mariele,Roose,24,Female,Orange,air_jordan_mvp_92_green,Fuscia,Paraguay,true,7,$899.76
Graig,Jimenez,20,Male,Aquamarine,nike_vapor_edge_360_black,Orange,Brazil,true,9,$220.30
Craggie,Jagels,21,Male,Maroon,nike_long_jump_elite_white,Yellow,Argentina,true,6,$599.70
Hugh,Brightman,20,Male,Yellow,nike_vomero_plus_pink,Green,China,false,6,$959.81
Charlotte,Bristoe,21,Genderfluid,Orange,nike_long_jump_elite_white,Purple,China,false,3,$726.95
Vernen,Runchman,29,Male,Purple,nike_zoom_rotational_6_yellow,Red,Jamaica,true,1,$886.71
Aron,Brisseau,27,Male,Goldenrod,nike_vapor_shark_3_purple,Crimson,Russia,true,3,$22.93
Ingunna,Banker,28,Female,Green,nike_long_jump_elite_white,Fuscia,Philippines,false,9,$325.18
Margarethe,Woodings,28,Female,Turquoise,nike_vomero_plus_black,Puce,Kosovo,true,1,$286.67
Dalia,Bessent,19,Female,Violet,nike_phantom_6_low_elite_red,Red,Portugal,false,10,$325.17
Kissee,Ramshaw,22,Female,Goldenrod,nike_phantom_6_low_elite_red,Pink,Thailand,false,4,$372.89
Scottie,McGenn,18,Male,Crimson,nike_zoom_rival_xc_6_aqua,Yellow,Argentina,false,1,$501.44
Emalee,Fillary,18,Female,Fuscia,air_jordan_1_retro_high_og_gray,Indigo,Portugal,false,8,$846.17
Anica,Witcombe,28,Female,Aquamarine,air_jordan_4_retro_brown,Purple,Thailand,false,2,$512.48
Leonore,Fones,20,Female,Maroon,air_jordan_1_retro_high_og_gray,Purple,Russia,false,7,$940.30
Gavan,Stittle,20,Male,Purple,air_jordan_4_retro_brown,Khaki,Ghana,false,4,$872.25
Dreddy,Bendon,20,Genderfluid,Green,nike_maxfly_2_yellow,Puce,Argentina,true,6,$672.97
Lucilia,Perelli,24,Female,Orange,nike_long_jump_elite_white,Purple,China,true,9,$507.89
Brina,Whittlesea,22,Female,Teal,nike_alphafly_3_orange,Violet,Mexico,true,9,$611.33
Lorin,Grebner,30,Male,Khaki,air_jordan_4_retro_brown,Khaki,China,false,2,$930.11
Amandi,Bradd,28,Female,Mauv,nike_vomero_plus_black,Turquoise,Russia,true,8,$223.88
Thorndike,Lautie,19,Male,Teal,nike_vapor_speed_3_green,Yellow,Colombia,false,2,$256.07
Rafaellle,Folker,19,Male,Mauv,nike_maxfly_2_purple,Fuscia,Israel,true,1,$103.89
Carola,Clohisey,29,Female,Red,nike_acg_ultrafly_trail_orange,Puce,Pakistan,false,8,$674.16
Maxie,Dossett,30,Male,Goldenrod,air_jordan_4_retro_red,Mauv,Haiti,true,10,$568.35
Welsh,Jozsef,26,Male,Turquoise,nike_maxfly_2_yellow,Purple,Philippines,true,2,$87.70
Charlton,Veivers,26,Male,Maroon,nike_maxfly_2_purple,Green,China,true,7,$820.35
Gene,Emanson,20,Female,Yellow,nike_vomero_plus_pink,Indigo,Indonesia,true,5,$121.26
Annmaria,Skells,24,Female,Khaki,air_jordan_1_retro_high_og_gray,Pink,Peru,true,3,$30.92
Billy,McQuie,22,Non-binary,Puce,nike_maxfly_2_purple,Maroon,Indonesia,true,5,$517.28
Tod,Tookey,19,Male,Blue,nike_vomero_plus_black,Yellow,Russia,false,7,$334.05
Ewart,Eastope,20,Male,Puce,nike_alpha_menace_4_varsity_blue,Puce,Philippines,true,7,$542.97
Noak,Bramsen,29,Male,Blue,nike_zoom_rotational_6_yellow,Crimson,Russia,true,8,$354.15
Carmita,Brett,25,Female,Red,nike_mercurial_superfly_10_elite_blue,Pink,Peru,false,2,$797.77
Burton,Seary,18,Male,Maroon,nike_long_jump_elite_white,Blue,Honduras,true,4,$532.15
Hazel,Soltan,22,Female,Teal,air_jordan_1_retro_high_og_gray,Khaki,Portugal,false,5,$420.72
Shena,Twiggs,28,Female,Pink,nike_zoom_rotational_6_yellow,Blue,Greece,false,2,$784.37
Ebenezer,Joan,26,Male,Indigo,nike_vapor_edge_360_black,Violet,China,false,7,$904.86
Beryle,Arderne,25,Female,Mauv,nike_long_jump_elite_white,Fuscia,Syria,false,6,$258.81
Britt,Oger,26,Female,Aquamarine,nike_mercurial_superfly_10_elite_blue,Turquoise,Russia,false,6,$446.95
Atlante,Blamires,28,Female,Khaki,nike_vomero_plus_black,Red,Nigeria,true,2,$348.30
Kaylee,Copsey,21,Female,Red,nike_alphafly_3_orange,Purple,Ukraine,true,2,$872.53
Karita,Rohmer,21,Female,Orange,nike_mercurial_superfly_10_elite_blue,Khaki,China,false,1,$556.33
Lorraine,Giovannelli,18,Female,Turquoise,nike_acg_ultrafly_trail_orange,Yellow,Czech Republic,true,1,$248.45
Linell,Konzel,30,Bigender,Orange,nike_vomero_plus_black,Khaki,China,true,8,$419.82
Hamel,Imos,25,Male,Purple,nike_vapor_shark_3_purple,Khaki,Indonesia,true,5,$623.43
Jeremiah,Yushkin,18,Male,Fuscia,nike_alphafly_3_orange,Maroon,Austria,false,10,$28.26
Titus,Pinkie,27,Male,Pink,nike_mercurial_superfly_10_elite_blue,Aquamarine,Israel,false,10,$571.45
Barclay,Bernardo,27,Male,Pink,air_jordan_4_retro_red,Goldenrod,Ireland,true,6,$261.47
Carrol,Cahalan,29,Male,Crimson,air_jordan_4_retro_brown,Maroon,China,true,4,$716.56
Rebbecca,Leal,19,Female,Fuscia,air_jordan_4_retro_brown,Khaki,Peru,false,1,$486.02
Tallou,Breed,23,Female,Blue,nike_maxfly_2_purple,Aquamarine,China,false,7,$868.40
Rudolfo,Dioniso,20,Male,Puce,nike_maxfly_2_purple,Pink,Thailand,false,8,$768.97
Nevsa,Sundin,23,Female,Yellow,nike_phantom_6_low_elite_red,Indigo,Canada,true,8,$201.83
Datha,Jehaes,26,Female,Yellow,nike_alphafly_3_navy,Violet,Portugal,false,1,$153.93
Erminie,Stapford,29,Female,Green,nike_zoom_rival_xc_6_aqua,Crimson,Vietnam,true,6,$865.98
Winne,Canaan,30,Female,Violet,air_jordan_mvp_92_green,Turquoise,Netherlands,false,5,$868.89
Martainn,Tummond,30,Male,Green,nike_long_jump_elite_white,Teal,Czech Republic,false,7,$861.73
Roland,Pepi,24,Male,Turquoise,nike_maxfly_2_yellow,Violet,China,true,9,$35.89
Ely,Coatman,23,Male,Teal,nike_vomero_plus_black,Goldenrod,Philippines,true,6,$741.17
Rocky,Vettore,23,Male,Yellow,nike_long_jump_elite_white,Red,Mexico,false,1,$248.82
Juliet,Pipping,18,Bigender,Purple,nike_maxfly_2_yellow,Mauv,China,false,1,$572.26
Ketti,Roblin,22,Female,Red,air_jordan_mvp_92_green,Khaki,China,true,7,$258.70
Sherye,Rumens,25,Genderfluid,Goldenrod,nike_vapor_shark_3_purple,Orange,China,true,2,$36.01
Abran,Coady,21,Male,Mauv,nike_vomero_plus_black,Fuscia,Philippines,true,3,$469.84
Jolynn,Stooders,24,Female,Turquoise,air_jordan_1_retro_high_og_gray,Fuscia,Guatemala,true,6,$624.36
Horatius,Reihill,19,Male,Red,nike_acg_ultrafly_trail_orange,Orange,Colombia,true,6,$332.34
Caroljean,De Nisco,29,Female,Crimson,nike_alphafly_3_navy,Yellow,China,false,7,$714.73
Wat,Collimore,24,Bigender,Teal,nike_acg_ultrafly_trail_orange,Turquoise,United States,true,6,$607.60
Chadwick,Fehners,27,Male,Red,nike_vapor_edge_360_black,Pink,Nigeria,false,4,$355.02
Ben,Gee,26,Male,Aquamarine,air_jordan_4_retro_brown,Aquamarine,Denmark,false,10,$336.45
Chrissie,Raund,19,Male,Purple,nike_vomero_plus_pink,Orange,Indonesia,true,8,$963.34
Teri,Grigg,29,Female,Khaki,nike_vomero_plus_black,Indigo,Nigeria,false,6,$546.46
Reggy,Flack,21,Male,Red,nike_long_jump_elite_white,Crimson,Colombia,true,7,$998.62
Corena,Stroulger,20,Female,Pink,nike_zoom_rival_xc_6_aqua,Puce,Haiti,true,5,$244.89
Bjorn,Di Filippo,24,Male,Goldenrod,nike_alpha_menace_4_varsity_blue,Green,Greece,true,5,$991.23
Christin,Vakhrushin,26,Female,Teal,nike_acg_ultrafly_trail_orange,Goldenrod,China,false,2,$255.75
Tommie,Franschini,24,Female,Khaki,nike_mercurial_superfly_10_elite_blue,Red,Philippines,false,5,$878.52
Clemente,Abbatt,29,Male,Green,nike_maxfly_2_purple,Violet,Philippines,true,2,$586.74
Allistir,Gyenes,22,Male,Indigo,nike_long_jump_elite_white,Green,Portugal,true,10,$731.90
Lyn,Adamides,29,Male,Green,nike_vapor_speed_3_green,Khaki,France,true,3,$216.87
Dayna,Hoys,19,Female,Puce,nike_zoom_rotational_6_yellow,Goldenrod,China,true,8,$789.58
Lee,Gissop,30,Male,Orange,air_jordan_1_retro_high_og_gray,Maroon,Philippines,true,6,$20.78
Virgil,Doutch,23,Male,Pink,nike_maxfly_2_purple,Fuscia,China,true,7,$997.57
Manolo,Lea,18,Male,Green,nike_long_jump_elite_white,Maroon,Poland,false,10,$76.40
Lisette,Strethill,29,Female,Violet,air_jordan_4_retro_brown,Goldenrod,China,true,3,$39.04
Dacia,Lyall,27,Female,Aquamarine,air_jordan_1_retro_high_og_gray,Violet,Serbia,false,7,$886.01
Riva,Dimbleby,24,Female,Turquoise,nike_acg_ultrafly_trail_orange,Indigo,Portugal,false,8,$482.33
Vernen,Carass,24,Male,Violet,nike_maxfly_2_yellow,Yellow,Indonesia,true,1,$979.31
Michal,Lannin,25,Genderfluid,Yellow,nike_maxfly_2_yellow,Purple,Indonesia,false,10,$207.14
Chester,Ruzicka,23,Male,Goldenrod,nike_maxfly_2_purple,Khaki,China,false,10,$955.70
Fremont,Ellcome,28,Male,Green,nike_alphafly_3_navy,Crimson,Finland,true,4,$815.37
Brittan,Friday,21,Female,Goldenrod,nike_maxfly_2_purple,Puce,Azerbaijan,true,1,$226.46
Cariotta,Orrett,27,Female,Khaki,nike_maxfly_2_purple,Mauv,Philippines,true,1,$358.93
Culver,Duigan,19,Male,Orange,nike_long_jump_elite_white,Blue,China,false,8,$356.93
Aubree,Lowsely,18,Female,Turquoise,nike_phantom_6_low_elite_red,Purple,Ireland,false,4,$252.97
Chanda,Parkhouse,18,Female,Red,nike_alpha_menace_4_varsity_blue,Violet,Canada,true,10,$421.40
Greggory,Johansson,28,Male,Goldenrod,nike_maxfly_2_purple,Crimson,Japan,true,6,$59.12
Roxy,Burkinshaw,28,Female,Yellow,nike_alphafly_3_orange,Turquoise,Poland,false,7,$330.08
Hort,Conlon,27,Male,Mauv,air_jordan_1_retro_high_og_gray,Goldenrod,China,false,9,$667.08
Doti,Dockray,19,Female,Yellow,nike_vapor_edge_360_black,Indigo,Portugal,false,4,$503.61
Hakim,Boar,18,Male,Aquamarine,nike_alpha_menace_4_varsity_blue,Purple,Cuba,true,8,$465.98
Adella,Heigho,28,Female,Goldenrod,nike_acg_ultrafly_trail_orange,Indigo,Russia,true,8,$376.40
Dana,Siddle,18,Male,Khaki,nike_mercurial_superfly_10_elite_blue,Khaki,Brazil,true,5,$429.44
Keir,McClounan,18,Male,Red,nike_alpha_menace_4_varsity_blue,Khaki,France,false,10,$519.73
Cherianne,Hardi,19,Female,Maroon,air_jordan_4_retro_brown,Yellow,Bosnia and Herzegovina,false,10,$836.46
Lane,Peeke,28,Male,Purple,nike_maxfly_2_yellow,Indigo,China,true,9,$730.01
Romonda,Sangar,24,Female,Khaki,nike_vomero_plus_black,Blue,China,true,9,$321.53
Chaddie,Birrell,28,Male,Fuscia,air_jordan_1_retro_high_og_gray,Pink,Peru,true,3,$0.43
Karola,Moy,26,Bigender,Khaki,nike_alpha_menace_4_varsity_blue,Maroon,Thailand,false,7,$96.97
Israel,Prandy,30,Male,Pink,nike_alphafly_3_orange,Violet,China,false,6,$35.95
Alessandra,Saintpierre,26,Female,Puce,nike_long_jump_elite_white,Blue,Philippines,true,2,$670.91
Blaine,Southeran,21,Male,Crimson,air_jordan_1_retro_high_og_gray,Purple,Philippines,true,4,$314.90
Oren,Ferguson,28,Male,Mauv,nike_long_jump_elite_white,Khaki,Palestinian Territory,true,5,$425.83
Clarke,Buttner,24,Male,Purple,nike_zoom_rotational_6_yellow,Orange,China,false,5,$546.39
Aeriel,Kirstein,21,Female,Red,nike_zoom_rotational_6_yellow,Fuscia,Indonesia,false,3,$831.21
Zia,Riddick,24,Female,Turquoise,nike_maxfly_2_yellow,Purple,Morocco,false,2,$196.55
Nickolas,Kiln,20,Male,Puce,nike_vapor_shark_3_purple,Purple,Russia,true,3,$610.25
Ash,Begwell,29,Male,Pink,nike_vapor_speed_3_green,Indigo,South Korea,true,3,$368.94
Marcus,Quick,30,Non-binary,Fuscia,nike_vomero_plus_black,Teal,Russia,false,5,$798.73
Aeriel,Lamplough,28,Female,Violet,air_jordan_4_retro_brown,Turquoise,France,true,10,$31.63
Valentin,March,25,Male,Blue,nike_maxfly_2_yellow,Indigo,China,false,4,$257.16
Noe,Satterthwaite,26,Male,Goldenrod,nike_alphafly_3_navy,Orange,Portugal,true,4,$682.06
Gabe,Cruddace,26,Male,Blue,nike_alpha_menace_4_varsity_blue,Orange,France,false,4,$531.73
Mattias,Mumbray,25,Male,Teal,nike_vapor_speed_3_green,Red,China,false,2,$379.95
Durant,Lunt,19,Male,Fuscia,air_jordan_1_retro_high_og_gray,Crimson,Philippines,true,8,$422.86
Dave,Nisco,27,Male,Violet,nike_vapor_edge_360_black,Yellow,China,true,5,$808.86
Elsie,Lidell,27,Female,Green,nike_zoom_rotational_6_yellow,Pink,Philippines,true,2,$73.11
Arliene,McNutt,18,Female,Orange,nike_vapor_edge_360_black,Goldenrod,Indonesia,false,6,$354.95
Tyson,Thomsen,26,Male,Violet,nike_vapor_speed_3_green,Turquoise,Argentina,true,4,$55.10
Reynolds,Burkert,18,Male,Orange,nike_alpha_menace_4_varsity_blue,Red,Poland,true,9,$559.92
Stanly,Kilbane,24,Male,Purple,nike_maxfly_2_purple,Aquamarine,Brazil,false,7,$335.60
Estel,Isakov,30,Female,Orange,nike_maxfly_2_yellow,Purple,Czech Republic,false,3,$471.75
Birk,Kibel,28,Male,Mauv,nike_mercurial_superfly_10_elite_blue,Yellow,Sweden,false,1,$148.60
Merilyn,Anlay,28,Female,Maroon,nike_vapor_shark_3_purple,Mauv,Czech Republic,false,7,$168.06
Nathan,Greser,25,Male,Orange,nike_vomero_plus_black,Maroon,Namibia,false,3,$418.25
Grove,Harnwell,29,Male,Khaki,nike_zoom_rival_xc_6_pink,Indigo,China,true,10,$430.83
Jeffie,Barnicott,30,Male,Mauv,nike_mercurial_superfly_10_elite_blue,Maroon,Venezuela,false,9,$951.15
Xymenes,Martyntsev,18,Bigender,Goldenrod,nike_alphafly_3_navy,Teal,Botswana,true,8,$760.29
Fanechka,Cawthorne,28,Female,Mauv,air_jordan_4_retro_brown,Blue,China,false,6,$679.41
Karoline,Byrcher,18,Female,Maroon,nike_vomero_plus_black,Khaki,United States,false,5,$558.69
Malchy,Gorwood,21,Male,Turquoise,nike_vapor_edge_360_black,Aquamarine,Philippines,true,6,$922.69
Carol-jean,Yankov,27,Female,Yellow,nike_vapor_speed_3_green,Yellow,Philippines,true,2,$531.78
Gian,Clubley,21,Male,Purple,nike_mercurial_superfly_10_elite_blue,Fuscia,Cyprus,false,4,$112.38
Michaeline,Pound,20,Female,Puce,nike_vapor_speed_3_green,Teal,Czech Republic,true,2,$395.07
Daryl,Smorthit,22,Male,Yellow,nike_zoom_rival_xc_6_aqua,Violet,China,false,3,$383.28
Allen,Harlow,20,Male,Indigo,nike_zoom_rival_xc_6_pink,Crimson,Canada,true,7,$644.68
Ericka,Leavy,26,Female,Purple,nike_vapor_speed_3_green,Maroon,Finland,false,3,$53.25
Cathlene,Lovick,19,Female,Red,nike_maxfly_2_yellow,Goldenrod,Malaysia,true,2,$504.67
Cynthia,Braunlein,25,Female,Red,nike_alpha_menace_4_varsity_blue,Yellow,South Korea,false,2,$250.38
Shoshana,Vynoll,18,Female,Puce,air_jordan_mvp_92_green,Green,Indonesia,true,4,$40.65
Ranna,Norcott,20,Female,Puce,nike_maxfly_2_yellow,Fuscia,Indonesia,false,8,$264.16
Joni,Gave,29,Female,Aquamarine,nike_maxfly_2_yellow,Fuscia,Russia,true,1,$153.67
Paule,Staines,26,Female,Aquamarine,nike_phantom_6_low_elite_red,Puce,United States,false,4,$450.43
Aloysia,Malcher,18,Female,Khaki,nike_vapor_edge_360_black,Yellow,Russia,false,7,$275.98
Graehme,Walthew,18,Male,Orange,nike_phantom_6_low_elite_red,Crimson,Philippines,false,10,$179.38
Lenard,Aronow,23,Male,Orange,nike_mercurial_superfly_10_elite_blue,Indigo,Japan,true,10,$374.56
Valle,Hansmann,18,Male,Blue,nike_maxfly_2_yellow,Maroon,South Africa,true,10,$315.16
Sully,Vynoll,28,Male,Puce,nike_alpha_menace_4_varsity_blue,Indigo,Russia,true,5,$952.83
Sergeant,Quan,22,Male,Aquamarine,nike_vapor_edge_360_black,Aquamarine,Portugal,true,4,$920.20
Zea,Seed,20,Female,Violet,nike_vapor_shark_3_purple,Maroon,Mongolia,true,7,$646.64
Alix,Rambadt,22,Male,Crimson,nike_zoom_rotational_6_yellow,Teal,Morocco,false,4,$941.84
Duff,Lanon,21,Male,Maroon,nike_acg_ultrafly_trail_orange,Purple,Faroe Islands,false,7,$931.62
Yorgo,Ville,20,Male,Khaki,nike_vomero_plus_black,Teal,Jamaica,true,4,$466.38
Adda,Dendle,26,Genderqueer,Purple,nike_acg_ultrafly_trail_orange,Mauv,South Georgia and the South Sandwich Islands,false,9,$563.96
Engracia,Gimblet,21,Female,Purple,nike_zoom_rival_xc_6_aqua,Purple,Peru,true,10,$315.19
